#taskLabel	taskNamespace	taskType	nCores	memMb	priority	isForceLocal	dependencies	cwd	command
makeTmpDir	CallGenome	command	1	2048	0	1			mkdir -p /run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/results/svc_strelka2/workspace/genomeSegment.tmpdir
callGenomeSegment_chromId_014_15_0000	CallGenome	command	1	1536	0	0	makeTmpDir		/home/miculanl/bin/strelka-2.9.10/libexec/strelka2 --region 15:1-11392377 --ref /run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/data/annotations/human_g1k_v37.fasta --max-indel-size 49 --call-regions-bed /run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/data/ogdata/Captured_Regions.bed.gz --min-mapping-quality 20 --somatic-snv-rate 0.0001 --shared-site-error-rate 0.0000000005 --shared-site-error-strand-bias-fraction 0.0 --somatic-indel-rate 0.000001 --shared-indel-error-factor 2.2 --tier2-min-mapping-quality 0 --strelka-snv-max-filtered-basecall-frac 0.4 --strelka-snv-max-spanning-deletion-frac 0.75 --strelka-snv-min-qss-ref 15 --strelka-indel-max-window-filtered-basecall-frac 0.3 --strelka-indel-min-qsi-ref 40 --ssnv-contam-tolerance 0.15 --indel-contam-tolerance 0.15 --somatic-snv-scoring-model-file /home/miculanl/bin/strelka-2.9.10/share/config/somaticSNVScoringModels.json --somatic-indel-scoring-model-file /home/miculanl/bin/strelka-2.9.10/share/config/somaticIndelScoringModels.json --normal-align-file /run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/data/bamprocessing/realign/Control.sorted.realigned.bam --tumor-align-file /run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/data/bamprocessing/realign/Tumor.sorted.realigned.bam --somatic-snv-file /run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/results/svc_strelka2/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_014_15_0000.vcf --somatic-indel-file /run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/results/svc_strelka2/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_014_15_0000.vcf --stats-file /run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/results/svc_strelka2/workspace/genomeSegment.tmpdir/runStats.chromId_014_15_0000.xml --strelka-chrom-depth-file /run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/results/svc_strelka2/workspace/chromDepth.tsv --strelka-max-depth-factor 3.0
fixVcfHeader_chromId_014_15_0000	CallGenome	command	1	2048	0	1	callGenomeSegment_chromId_014_15_0000		"/usr/bin/python2" -E "/home/miculanl/bin/strelka-2.9.10/libexec/vcfCmdlineSwapper.py" "/home/miculanl/bin/strelka-2.9.10/bin/configureStrelkaSomaticWorkflow.py --normalBam data/bamprocessing/realign/Control.sorted.realigned.bam --tumorBam data/bamprocessing/realign/Tumor.sorted.realigned.bam --referenceFasta data/annotations/human_g1k_v37.fasta --runDir results/svc_strelka2 --callRegions data/ogdata/Captured_Regions.bed.gz" < "/run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/results/svc_strelka2/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_014_15_0000.vcf" > "/run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/results/svc_strelka2/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_014_15_0000.vcf.reheader.tmp" && mv "/run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/results/svc_strelka2/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_014_15_0000.vcf.reheader.tmp" "/run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/results/svc_strelka2/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_014_15_0000.vcf" && "/usr/bin/python2" -E "/home/miculanl/bin/strelka-2.9.10/libexec/vcfCmdlineSwapper.py" "/home/miculanl/bin/strelka-2.9.10/bin/configureStrelkaSomaticWorkflow.py --normalBam data/bamprocessing/realign/Control.sorted.realigned.bam --tumorBam data/bamprocessing/realign/Tumor.sorted.realigned.bam --referenceFasta data/annotations/human_g1k_v37.fasta --runDir results/svc_strelka2 --callRegions data/ogdata/Captured_Regions.bed.gz" < "/run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/results/svc_strelka2/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_014_15_0000.vcf" > "/run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/results/svc_strelka2/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_014_15_0000.vcf.reheader.tmp" && mv "/run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/results/svc_strelka2/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_014_15_0000.vcf.reheader.tmp" "/run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/results/svc_strelka2/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_014_15_0000.vcf"
compressSegmentOutput_chromId_014_15_0000	CallGenome	command	1	2048	0	1	fixVcfHeader_chromId_014_15_0000		"/home/miculanl/bin/strelka-2.9.10/libexec/bgzip" "/run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/results/svc_strelka2/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_014_15_0000.vcf" && "/home/miculanl/bin/strelka-2.9.10/libexec/bgzip" "/run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/results/svc_strelka2/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_014_15_0000.vcf"
callGenomeSegment_chromId_014_15_0001	CallGenome	command	1	1536	0	0	makeTmpDir		/home/miculanl/bin/strelka-2.9.10/libexec/strelka2 --region 15:11392378-22784754 --ref /run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/data/annotations/human_g1k_v37.fasta --max-indel-size 49 --call-regions-bed /run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/data/ogdata/Captured_Regions.bed.gz --min-mapping-quality 20 --somatic-snv-rate 0.0001 --shared-site-error-rate 0.0000000005 --shared-site-error-strand-bias-fraction 0.0 --somatic-indel-rate 0.000001 --shared-indel-error-factor 2.2 --tier2-min-mapping-quality 0 --strelka-snv-max-filtered-basecall-frac 0.4 --strelka-snv-max-spanning-deletion-frac 0.75 --strelka-snv-min-qss-ref 15 --strelka-indel-max-window-filtered-basecall-frac 0.3 --strelka-indel-min-qsi-ref 40 --ssnv-contam-tolerance 0.15 --indel-contam-tolerance 0.15 --somatic-snv-scoring-model-file /home/miculanl/bin/strelka-2.9.10/share/config/somaticSNVScoringModels.json --somatic-indel-scoring-model-file /home/miculanl/bin/strelka-2.9.10/share/config/somaticIndelScoringModels.json --normal-align-file /run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/data/bamprocessing/realign/Control.sorted.realigned.bam --tumor-align-file /run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/data/bamprocessing/realign/Tumor.sorted.realigned.bam --somatic-snv-file /run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/results/svc_strelka2/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_014_15_0001.vcf --somatic-indel-file /run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/results/svc_strelka2/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_014_15_0001.vcf --stats-file /run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/results/svc_strelka2/workspace/genomeSegment.tmpdir/runStats.chromId_014_15_0001.xml --strelka-skip-header --strelka-chrom-depth-file /run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/results/svc_strelka2/workspace/chromDepth.tsv --strelka-max-depth-factor 3.0
compressSegmentOutput_chromId_014_15_0001	CallGenome	command	1	2048	0	1	callGenomeSegment_chromId_014_15_0001		"/home/miculanl/bin/strelka-2.9.10/libexec/bgzip" "/run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/results/svc_strelka2/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_014_15_0001.vcf" && "/home/miculanl/bin/strelka-2.9.10/libexec/bgzip" "/run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/results/svc_strelka2/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_014_15_0001.vcf"
callGenomeSegment_chromId_014_15_0002	CallGenome	command	1	1536	0	0	makeTmpDir		/home/miculanl/bin/strelka-2.9.10/libexec/strelka2 --region 15:22784755-34177131 --ref /run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/data/annotations/human_g1k_v37.fasta --max-indel-size 49 --call-regions-bed /run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/data/ogdata/Captured_Regions.bed.gz --min-mapping-quality 20 --somatic-snv-rate 0.0001 --shared-site-error-rate 0.0000000005 --shared-site-error-strand-bias-fraction 0.0 --somatic-indel-rate 0.000001 --shared-indel-error-factor 2.2 --tier2-min-mapping-quality 0 --strelka-snv-max-filtered-basecall-frac 0.4 --strelka-snv-max-spanning-deletion-frac 0.75 --strelka-snv-min-qss-ref 15 --strelka-indel-max-window-filtered-basecall-frac 0.3 --strelka-indel-min-qsi-ref 40 --ssnv-contam-tolerance 0.15 --indel-contam-tolerance 0.15 --somatic-snv-scoring-model-file /home/miculanl/bin/strelka-2.9.10/share/config/somaticSNVScoringModels.json --somatic-indel-scoring-model-file /home/miculanl/bin/strelka-2.9.10/share/config/somaticIndelScoringModels.json --normal-align-file /run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/data/bamprocessing/realign/Control.sorted.realigned.bam --tumor-align-file /run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/data/bamprocessing/realign/Tumor.sorted.realigned.bam --somatic-snv-file /run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/results/svc_strelka2/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_014_15_0002.vcf --somatic-indel-file /run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/results/svc_strelka2/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_014_15_0002.vcf --stats-file /run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/results/svc_strelka2/workspace/genomeSegment.tmpdir/runStats.chromId_014_15_0002.xml --strelka-skip-header --strelka-chrom-depth-file /run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/results/svc_strelka2/workspace/chromDepth.tsv --strelka-max-depth-factor 3.0
compressSegmentOutput_chromId_014_15_0002	CallGenome	command	1	2048	0	1	callGenomeSegment_chromId_014_15_0002		"/home/miculanl/bin/strelka-2.9.10/libexec/bgzip" "/run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/results/svc_strelka2/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_014_15_0002.vcf" && "/home/miculanl/bin/strelka-2.9.10/libexec/bgzip" "/run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/results/svc_strelka2/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_014_15_0002.vcf"
callGenomeSegment_chromId_014_15_0003	CallGenome	command	1	1536	0	0	makeTmpDir		/home/miculanl/bin/strelka-2.9.10/libexec/strelka2 --region 15:34177132-45569508 --ref /run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/data/annotations/human_g1k_v37.fasta --max-indel-size 49 --call-regions-bed /run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/data/ogdata/Captured_Regions.bed.gz --min-mapping-quality 20 --somatic-snv-rate 0.0001 --shared-site-error-rate 0.0000000005 --shared-site-error-strand-bias-fraction 0.0 --somatic-indel-rate 0.000001 --shared-indel-error-factor 2.2 --tier2-min-mapping-quality 0 --strelka-snv-max-filtered-basecall-frac 0.4 --strelka-snv-max-spanning-deletion-frac 0.75 --strelka-snv-min-qss-ref 15 --strelka-indel-max-window-filtered-basecall-frac 0.3 --strelka-indel-min-qsi-ref 40 --ssnv-contam-tolerance 0.15 --indel-contam-tolerance 0.15 --somatic-snv-scoring-model-file /home/miculanl/bin/strelka-2.9.10/share/config/somaticSNVScoringModels.json --somatic-indel-scoring-model-file /home/miculanl/bin/strelka-2.9.10/share/config/somaticIndelScoringModels.json --normal-align-file /run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/data/bamprocessing/realign/Control.sorted.realigned.bam --tumor-align-file /run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/data/bamprocessing/realign/Tumor.sorted.realigned.bam --somatic-snv-file /run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/results/svc_strelka2/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_014_15_0003.vcf --somatic-indel-file /run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/results/svc_strelka2/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_014_15_0003.vcf --stats-file /run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/results/svc_strelka2/workspace/genomeSegment.tmpdir/runStats.chromId_014_15_0003.xml --strelka-skip-header --strelka-chrom-depth-file /run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/results/svc_strelka2/workspace/chromDepth.tsv --strelka-max-depth-factor 3.0
compressSegmentOutput_chromId_014_15_0003	CallGenome	command	1	2048	0	1	callGenomeSegment_chromId_014_15_0003		"/home/miculanl/bin/strelka-2.9.10/libexec/bgzip" "/run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/results/svc_strelka2/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_014_15_0003.vcf" && "/home/miculanl/bin/strelka-2.9.10/libexec/bgzip" "/run/media/miculanl/E87A653C7A6508A0/Users/Leonardo Miculan/Documents/UniTNNotes/A.A._2024-2025_1QCB/2nd_semester/Genomics/HumanGenom/CHG-project25/results/svc_strelka2/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_014_15_0003.vcf"
